Country,Code,Year,Deaths
Egypt,EGY,2017,0.012997174
Algeria,DZA,2017,0.194724102
Sudan,SDN,2017,2.542914677
Morocco,MAR,2017,0.273533437
Tunisia,TUN,2017,0.294523441
Libya,LBY,2017,0.300811158
Ethiopia,ETH,2017,3.200645013
Tanzania,TZA,2017,8.271159058
Kenya,KEN,2017,16.784879
Uganda,UGA,2017,11.15426226
Mozambique,MOZ,2017,24.17144689
Madagascar,MDG,2017,1.375042014
Malawi,MWI,2017,16.9600179
Zambia,ZMB,2017,18.41693992
Somalia,SOM,2017,1.663501782
Zimbabwe,ZWE,2017,13.67310288
Rwanda,RWA,2017,4.350740474
Burundi,BDI,2017,3.206268168
South Sudan,SSD,2017,3.770024208
Eritrea,ERI,2017,3.651048487
Mauritius,MUS,2017,0.927870738
Djibouti,DJI,2017,11.76622361
Comoros,COM,2017,0.036811005
Seychelles,SYC,2017,0.75970206
South Africa,ZAF,2017,28.45947221
Namibia,NAM,2017,23.25540344
Botswana,BWA,2017,28.67029242
Lesotho,LSO,2017,25.13845288
Nigeria,NGA,2017,10.73953998
Ghana,GHA,2017,6.888734602
Cote d'Ivoire,CIV,2017,10.15553162
Niger,NER,2017,1.132208726
Burkina Faso,BFA,2017,1.446378816
Mali,MLI,2017,3.125287749
Senegal,SEN,2017,2.062537141
Guinea,GIN,2017,2.759010787
Benin,BEN,2017,2.245931492
Togo,TGO,2017,7.691165734
Sierra Leone,SLE,2017,3.085162063
Liberia,LBR,2017,5.912961187
Mauritania,MRT,2017,0.096673274
Gambia,GMB,2017,6.474641134
Guinea-Bissau,GNB,2017,9.296002534
Congo,COG,2017,14.71839634
Angola,AGO,2017,7.922774854
Cameroon,CMR,2017,11.94308556
Chad,TCD,2017,3.366685548
Central African Republic,CAF,2017,8.359061134
Gabon,GAB,2017,5.782682291
Equatorial Guinea,GNQ,2017,24.37547992
Sao Tome and Principe,STP,2017,0.019513968
